user,diff
11,"[53464, 4370, 5971, 30707]"
14,"[2724, 588, 46062, 4535]"
18,"[296, 912, 46976, 39183]"
25,"[2324, 4973, 1270, 1271]"
31,"[616, 5313, 55995, 33646]"
35,"[2959, 7155, 44195, 46967]"
43,"[2125, 3996, 1197, 3623]"
50,"[2081, 597, 1094, 215]"
58,"[2761, 6323, 3260, 3363]"
60,"[1285, 91500, 53125, 31]"
61,"[2959, 6502, 55118, 31]"
65,"[24, 27376, 64957, 55247]"
72,"[608, 953, 1035, 3996]"
77,"[1281, 1210, 1196, 1372]"
82,"[6337, 90866, 4251, 2334]"
85,"[912, 1025, 97921, 1243]"
90,"[4896, 5299, 31427, 2054]"
91,"[8784, 30810, 468, 1292]"
96,"[8665, 88810, 110553, 112623]"
98,"[1748, 2340, 5989, 2396]"
99,"[1208, 1089, 4226, 3671]"
102,"[898, 1035, 1292, 1253]"
116,"[7258, 1220, 180, 6063]"
121,"[1288, 3210, 2628, 1198]"
124,"[3996, 33794, 1876, 6942]"
129,"[1240, 3556, 356, 4878]"
132,"[8528, 6874, 27788, 47]"
133,"[1617, 81845, 5945, 3751]"
135,"[1704, 42728, 42011, 318]"
136,"[81562, 5445, 114180, 6333]"
147,"[1208, 3108, 1197, 471]"
152,"[586, 2700, 3994, 45431]"
154,"[1608, 778, 6957, 42632]"
155,"[53322, 6539, 1270, 27831]"
162,"[296, 1258, 364, 1653]"
163,"[54272, 50872, 2571, 6934]"
168,"[1, 3018, 1267, 3949]"
175,"[1262, 2329, 1198, 1270]"
182,"[1186, 5418, 42718, 5903]"
189,"[2329, 1210, 1580, 588]"
190,"[1968, 2890, 6979, 79132]"
201,"[5570, 4027, 1732, 4973]"
204,"[2987, 780, 1270, 3911]"
205,"[593, 1617, 778, 1136]"
206,"[4344, 4361, 318, 2959]"
208,"[1224, 1097, 4037, 60766]"
209,"[69481, 88785, 88163, 376]"
211,"[8368, 45722, 2355, 2012]"
213,"[46976, 82459, 2268, 54997]"
215,"[89864, 1211, 38061, 3039]"
218,"[30810, 6003, 1266, 4027]"
220,"[1225, 33166, 1357, 3462]"
232,"[208, 1682, 2012, 3910]"
237,"[1080, 1265, 10, 50]"
239,"[3440, 546, 3404, 597]"
241,"[55167, 3683, 65982, 5903]"
248,"[69640, 88810, 6365, 1704]"
252,"[1217, 858, 7925, 431]"
254,"[555, 48516, 1963, 6]"
258,"[59369, 65682, 1036, 49278]"
264,"[4025, 2762, 40629, 2359]"
266,"[1408, 4306, 80906, 7669]"
271,"[2918, 1036, 750, 4878]"
279,"[1688, 4090, 56171, 709]"
284,"[858, 32587, 293, 54259]"
285,"[1704, 3448, 8972, 8368]"
294,"[1345, 529, 2174, 8985]"
304,"[7153, 36529, 59369, 33166]"
312,"[5608, 2991, 8861, 44191]"
313,"[32, 8861, 4958, 2167]"
316,"[8376, 1233, 3052, 7254]"
317,"[1240, 52281, 293, 46976]"
318,"[3504, 5833, 6537, 111759]"
337,"[84152, 72378, 79293, 4247]"
340,"[68791, 1193, 4262, 68159]"
342,"[108190, 51540, 79357, 4878]"
348,"[52042, 44788, 1269, 86190]"
351,"[8622, 111, 4902, 4711]"
359,"[37857, 2579, 86644, 78039]"
361,"[4306, 165, 4886, 47]"
367,"[5010, 4844, 79132, 3030]"
370,"[70208, 44195, 60684, 6975]"
372,"[1240, 7361, 778, 5618]"
375,"[6001, 5010, 5932, 2871]"
379,"[2010, 3703, 6333, 3471]"
383,"[8361, 6539, 49396, 56757]"
387,"[48856, 1258, 63876, 1213]"
388,"[1291, 55052, 1653, 56174]"
394,"[8464, 41569, 25841, 86833]"
395,"[3247, 2, 6377, 2087]"
398,"[1193, 74458, 4011, 92259]"
407,"[46578, 5291, 1950, 1183]"
409,"[5418, 88140, 589, 783]"
413,"[26350, 2321, 1214, 8966]"
419,"[48322, 6811, 79428, 52462]"
421,"[1610, 58299, 52973, 48774]"
422,"[480, 3354, 6156, 6541]"
425,"[6993, 2186, 2005, 951]"
427,"[2000, 2001, 1270, 903]"
430,"[2378, 4643, 1100, 1125]"
431,"[89745, 5618, 36, 58559]"
436,"[6296, 1219, 1909, 2694]"
440,"[88744, 74458, 780, 367]"
442,"[3262, 49932, 1222, 2966]"
448,"[6440, 908, 6380, 6852]"
451,"[5618, 49932, 59118, 1884]"
455,"[89753, 32291, 8950, 80463]"
457,"[919, 1250, 2028, 64839]"
459,"[648, 7153, 6370, 56174]"
462,"[1339, 2771, 260, 1951]"
466,"[89745, 1721, 96821, 41566]"
469,"[96610, 32460, 64614, 56782]"
471,"[74458, 4890, 6724, 8982]"
482,"[97752, 2762, 80860, 39183]"
485,"[33794, 80906, 2890, 70286]"
486,"[5696, 1474, 56587, 6155]"
492,"[3033, 6979, 110, 4886]"
500,"[1225, 1258, 1291, 2018]"
503,"[954, 4865, 8874, 53972]"
504,"[8848, 1225, 26083, 7756]"
505,"[46578, 34323, 7438, 94959]"
508,"[1625, 6787, 5902, 2329]"
512,"[16, 908, 48780, 3101]"
520,"[520, 72129, 2985, 107348]"
521,"[318, 52281, 74510, 2231]"
532,"[27772, 2762, 27604, 8327]"
534,"[73321, 95875, 98809, 1527]"
535,"[49274, 48394, 6539, 34162]"
540,"[89745, 33794, 48516, 3306]"
546,"[8368, 2729, 9010, 3328]"
548,"[6265, 2706, 1517, 2918]"
557,"[7360, 1953, 7387, 1356]"
563,"[1552, 2505, 1245, 7981]"
571,"[160, 2716, 4886, 588]"
572,"[38992, 58025, 931, 54286]"
573,"[3089, 1250, 7924, 8188]"
577,"[106489, 2028, 70286, 2959]"
578,"[2064, 8371, 5667, 589]"
586,"[46530, 103772, 5644, 108983]"
588,"[1562, 1339, 4995, 2459]"
598,"[3801, 4298, 2206, 111]"
604,"[45672, 5620, 4979, 1380]"
609,"[32, 4034, 37386, 39183]"
612,"[40278, 4979, 40629, 6870]"
614,"[89904, 1907, 56171, 596]"
617,"[5952, 4993, 1089, 3798]"
619,"[33166, 2628, 2302, 1884]"
626,"[8464, 4410, 4085, 2502]"
631,"[63992, 5147, 2268, 109487]"
633,"[480, 4874, 2396, 2502]"
637,"[2529, 3906, 102445, 110102]"
